Path,Type
C:\File_Share\Corporate Communications\oozrgui1.docx,file
C:\File_Share\Corporate Communications\otz3lrhm.midi,file
C:\File_Share\Corporate Communications\q55cbfcl.ogg,file
C:\File_Share\Corporate Communications\rxmmqcuv.mpg,file
C:\File_Share\Corporate Communications\ux4rqmiu.mpeg2,file
C:\File_Share\Corporate Communications\xcxzrunb.docx,file
C:\File_Share\Corporate Communications\xqr4xu34.ram,file
C:\File_Share\Corporate Communications\yx4ygap2.pptx,file
C:\File_Share\Corporate Communications\z12sntpp.mpg,file
C:\File_Share\Customer Service\1m125can.mov,file
C:\File_Share\Customer Service\3vbash12.ogg,file
C:\File_Share\Customer Service\52onf42e.wma,file
C:\File_Share\Customer Service\ctevx1uc.pdf,file
C:\File_Share\Customer Service\dx1eqnf5.ppt,file
C:\File_Share\Customer Service\hmtgijnz.doc,file
C:\File_Share\Customer Service\lym3454x.mpeg2,file
C:\File_Share\Customer Service\mnkn5tje.xls,file
C:\File_Share\Customer Service\nhwf1t1m.doc,file
C:\File_Share\Customer Service\ozzz5gi4.docx,file
C:\File_Share\Customer Service\ppmxc3av.pptx,file
C:\File_Share\Customer Service\pwojqs04.wma,file
C:\File_Share\Customer Service\qlaeaqlc.docx,file
C:\File_Share\Customer Service\sldrp5um.ppt,file
C:\File_Share\Customer Service\so15xdk1.ram,file
C:\File_Share\Customer Service\sqkcgxua.docx,file
C:\File_Share\Customer Service\v0a435ge.pptx,file
C:\File_Share\Customer Service\vkgphy3v.pdf,file
C:\File_Share\Customer Service\vnnthqzd.mpg,file
C:\File_Share\Customer Service\womeavna.mpeg,file
C:\File_Share\Customer Service\xkcofanl.mov,file
C:\File_Share\Customer Service\yqadx3d3.mpeg2,file
C:\File_Share\Customer Service\z35qcste.mpg,file
C:\File_Share\Customer Service\zbpt4btq.mpg,file
C:\File_Share\Customer Service\zotiwwnb.xls,file
C:\File_Share\Data Entry\0zas335u.doc,file
C:\File_Share\Data Entry\12r3a1mu.docx,file
C:\File_Share\Data Entry\5rqtfxp3.ogg,file
C:\File_Share\Data Entry\auknrq3p.xls,file
C:\File_Share\Data Entry\cj2r5cih.mp3,file
C:\File_Share\Data Entry\dspr022s.ram,file
C:\File_Share\Data Entry\dxsk55f4.docx,file
C:\File_Share\Data Entry\epm3s1wq.pptx,file
C:\File_Share\Data Entry\ez1bvyqt.mpeg3,file
C:\File_Share\Data Entry\gvhppspj.xls,file
C:\File_Share\Data Entry\lb52jjo4.wma,file
C:\File_Share\Data Entry\nvbivcys.doc,file
C:\File_Share\Data Entry\pavb4bpn.ogg,file
C:\File_Share\Data Entry\z4yqhjnr.mp3,file
C:\File_Share\Finance\12obd354.ram,file
C:\File_Share\Finance\2tc3qnd3.midi,file
C:\File_Share\Finance\3dzz1rrd.rm,file
C:\File_Share\Finance\51awfvag.docx,file
C:\File_Share\Finance\ahrr5at0.ppt,file
C:\File_Share\Finance\brivsr15.avi,file
C:\File_Share\Finance\dolltuo0.mpeg,file
C:\File_Share\Finance\g5rn21s5.doc,file
C:\File_Share\Finance\juqvoi3k.midi,file
C:\File_Share\Finance\luujqqft.rm,file
C:\File_Share\Finance\mzchr5mo.docx,file
C:\File_Share\Finance\ocamz2la.ppt,file
C:\File_Share\Finance\os5fu5sg.ogg,file
C:\File_Share\Finance\p1dwgnfe.doc,file
C:\File_Share\Finance\ryizbnj4.docx,file
C:\File_Share\Finance\voowz3hn.rm,file
C:\File_Share\Human Resources\11wgusjg.mpeg,file
C:\File_Share\Human Resources\3aut1xo2.wma,file
C:\File_Share\Human Resources\55vozu32.doc,file
C:\File_Share\Human Resources\5a340tnb.wmv,file
C:\File_Share\Human Resources\5igedo4b.ram,file
C:\File_Share\Human Resources\5k0c1v5l.xls,file
C:\File_Share\Human Resources\danc0zj5.docx,file
C:\File_Share\Human Resources\fqitsj4a.midi,file
C:\File_Share\Human Resources\gtwjn0qa.mp3,file
C:\File_Share\Human Resources\ie4wv4lh.doc,file
C:\File_Share\Human Resources\iepwctca.doc,file
C:\File_Share\Human Resources\o2cdale1.xls,file
C:\File_Share\Human Resources\o5pb2vzl.ram,file
C:\File_Share\Human Resources\q0jezwpt.wma,file
C:\File_Share\Human Resources\r3312j33.pptx,file
C:\File_Share\Human Resources\rb11fqm5.docx,file
C:\File_Share\Human Resources\sow1bqbl.dot,file
C:\File_Share\Human Resources\xhcm31qn.wma,file
C:\File_Share\Human Resources\z5uwocmw.midi,file
C:\File_Share\Information Technology\0qhjfgcd.mp3,file
C:\File_Share\Information Technology\0wwr5zr3.wma,file
C:\File_Share\Information Technology\2x34xnaf.xls,file
C:\File_Share\Information Technology\5t343y34.ogg,file
C:\File_Share\Information Technology\ay4eslx4.mpeg3,file
C:\File_Share\Information Technology\demtjb4q.dot,file
C:\File_Share\Information Technology\dybc5syt.mpeg,file
C:\File_Share\Information Technology\fle5k2iv.mpeg,file
C:\File_Share\Information Technology\gfzzqkpp.mpeg2,file
C:\File_Share\Information Technology\iiqmvyzn.dot,file
C:\File_Share\Information Technology\jkgtogne.mpeg3,file
C:\File_Share\Information Technology\jwvsqvfc.wma,file
C:\File_Share\Information Technology\lfj14zid.docx,file
C:\File_Share\Information Technology\mvtg52ac.pptx,file
C:\File_Share\Information Technology\ncxd1tec.doc,file
C:\File_Share\Information Technology\nwyqkwl3.mpeg3,file
C:\File_Share\Information Technology\nxthxlze.docx,file
C:\File_Share\Information Technology\q3hkztnl.mpeg2,file
C:\File_Share\Information Technology\sd5qxde3.docx,file
C:\File_Share\Information Technology\spgyvlgv.mp4,file
C:\File_Share\Information Technology\sx5qmnpi.mpeg,file
C:\File_Share\Information Technology\szrfxu42.xls,file
C:\File_Share\Information Technology\t5pvk0d0.wmv,file
C:\File_Share\Information Technology\vnyshutf.xls,file
C:\File_Share\Information Technology\wan5o4ls.ppt,file
C:\File_Share\Information Technology\x5qz44m3.mp4,file
C:\File_Share\Information Technology\yxxpoucp.rm,file
C:\File_Share\Information Technology\z024du4b.midi,file
C:\File_Share\Information Technology\z102a3i5.mpeg,file
C:\File_Share\IT Support\05grd1mk.pdf,file
C:\File_Share\IT Support\0onuigdm.ram,file
C:\File_Share\IT Support\1ednd4mb.ppt,file
C:\File_Share\IT Support\2fp4hzmm.docx,file
C:\File_Share\IT Support\3wylz5c3.wmv,file
C:\File_Share\IT Support\5ontl0er.docx,file
C:\File_Share\IT Support\5q0unnhg.mpg,file
C:\File_Share\IT Support\baf0v1l1.mpeg2,file
C:\File_Share\IT Support\brtltmrm.mp3,file
C:\File_Share\IT Support\e4ojrucd.ogg,file
C:\File_Share\IT Support\ec3tmydv.docx,file
C:\File_Share\IT Support\gz0z3ugp.mpeg,file
C:\File_Share\IT Support\he00gzcf.mov,file
C:\File_Share\IT Support\hx45fskb.ram,file
C:\File_Share\IT Support\i1zrtccb.ogg,file
C:\File_Share\IT Support\ik1rfdql.doc,file
C:\File_Share\IT Support\jdom3y0z.mp3,file
C:\File_Share\IT Support\kiywkaj4.mp4,file
C:\File_Share\IT Support\l4kzczcu.midi,file
C:\File_Share\IT Support\llwwzppp.mov,file
C:\File_Share\IT Support\m4qblq0f.mpeg2,file
C:\File_Share\IT Support\mtnhtskw.midi,file
C:\File_Share\IT Support\nzsq1day.pptx,file
C:\File_Share\IT Support\oni0tykz.ram,file
C:\File_Share\IT Support\pnxpmgra.mpeg,file
C:\File_Share\IT Support\qitpenky.pptx,file
C:\File_Share\IT Support\sedrbyat.avi,file
C:\File_Share\IT Support\vrgtudnl.doc,file
C:\File_Share\IT Support\yizqqu5j.wma,file
C:\File_Share\IT Support\zbluvam1.mpg,file
C:\File_Share\Logistics\10mmb5wi.pptx,file
C:\File_Share\Logistics\1bk1jenc.rm,file
C:\File_Share\Logistics\1du4asxp.doc,file
C:\File_Share\Logistics\241s4fuy.mp4,file
C:\File_Share\Logistics\2ubwsv0g.wmv,file
C:\File_Share\Logistics\3r4qdfk4.mpeg3,file
C:\File_Share\Logistics\3yfkj3uu.mov,file
C:\File_Share\Logistics\5w3rnosy.pptx,file
C:\File_Share\Logistics\ateiv54v.doc,file
C:\File_Share\Logistics\bf34yuvr.wmv,file
C:\File_Share\Logistics\bgfj0e0x.ram,file
C:\File_Share\Logistics\cmorki0x.mov,file
C:\File_Share\Logistics\exy4sis2.doc,file
C:\File_Share\Logistics\f5ici3im.mp4,file
C:\File_Share\Logistics\farfqyif.mpeg2,file
C:\File_Share\Logistics\fbwxksmo.ogg,file
C:\File_Share\Logistics\gnrs4mdd.mpg,file
C:\File_Share\Logistics\h2nf3v3x.pdf,file
C:\File_Share\Logistics\hdk41p5x.ppt,file
C:\File_Share\Logistics\i21tst0z.mpeg3,file
C:\File_Share\Logistics\kr1yxeit.pptx,file
C:\File_Share\Logistics\lqvuip2k.xls,file
C:\File_Share\Logistics\nck5dsx1.ogg,file
C:\File_Share\Logistics\pjgtvwai.avi,file
C:\File_Share\Logistics\plfg5em4.avi,file
C:\File_Share\Logistics\povalstm.doc,file
C:\File_Share\Logistics\wtxeodc3.doc,file
C:\File_Share\Logistics\xnb05t5t.rm,file
C:\File_Share\Logistics\ywiywwzu.rm,file
C:\File_Share\Marketing\3faebp0n.dot,file
C:\File_Share\Marketing\acicogee.wma,file
C:\File_Share\Marketing\bep133ly.wmv,file
C:\File_Share\Marketing\bgan2ko2.mov,file
C:\File_Share\Marketing\djrd0gwg.wmv,file
C:\File_Share\Marketing\e0jypr25.wma,file
C:\File_Share\Marketing\fru1hinn.pptx,file
C:\File_Share\Marketing\j51lvwop.ram,file
C:\File_Share\Marketing\lkocrw0b.doc,file
C:\File_Share\Marketing\mbs43xvv.pptx,file
C:\File_Share\Marketing\mzps4ajb.doc,file
C:\File_Share\Marketing\nxbmackn.mpeg,file
C:\File_Share\Marketing\okwm00b5.mpeg2,file
C:\File_Share\Marketing\qg2bodv5.xls,file
C:\File_Share\Marketing\qwysqpnk.pptx,file
C:\File_Share\Marketing\sis0m3c0.mp3,file
C:\File_Share\Marketing\tdc312a2.mpeg3,file
C:\File_Share\Marketing\tpncml0w.mp4,file
C:\File_Share\Marketing\ufjytgfc.rm,file
C:\File_Share\Marketing\wiizvhsx.docx,file
C:\File_Share\Marketing\x5uwhld2.avi,file
C:\File_Share\Marketing\zjj0odrw.pdf,file
C:\File_Share\Marketing\zww2bewz.mp4,file
C:\File_Share\Operations\agp1yzk3.wmv,file
C:\File_Share\Operations\coh0xl03.docx,file
C:\File_Share\Operations\csqeqiyy.xls,file
C:\File_Share\Operations\ctmpkmui.ogg,file
C:\File_Share\Operations\df3hyzrs.midi,file
C:\File_Share\Operations\eelwkwfv.midi,file
C:\File_Share\Operations\fxewy5nc.doc,file
C:\File_Share\Operations\jc03xhe5.docx,file
C:\File_Share\Operations\lpwf2usp.pdf,file
C:\File_Share\Operations\mp3l5lbe.dot,file
C:\File_Share\Operations\nqej1uuz.doc,file
C:\File_Share\Operations\ow2c12ea.mpeg2,file
C:\File_Share\Operations\sbwspdlt.doc,file
C:\File_Share\Operations\skdptgrp.mpg,file
C:\File_Share\Operations\spatsdet.pdf,file
C:\File_Share\Operations\ttn0lt2u.pptx,file
C:\File_Share\Operations\tx2dccoo.midi,file
C:\File_Share\Operations\txfr5xnd.mpeg2,file
C:\File_Share\Payroll\0fxx0rkg.doc,file
C:\File_Share\Payroll\12n4idhp.midi,file
C:\File_Share\Payroll\24ep2k4w.pdf,file
C:\File_Share\Payroll\3jtirdct.docx,file
C:\File_Share\Payroll\53tv1jze.ogg,file
C:\File_Share\Payroll\bg2dwxs3.mp4,file
C:\File_Share\Payroll\br2zrmvl.midi,file
C:\File_Share\Payroll\f4cotcsi.xls,file
C:\File_Share\Payroll\fskzrcqv.mp4,file
C:\File_Share\Payroll\s1an4baj.wma,file
C:\File_Share\Payroll\w0aydze4.pdf,file
C:\File_Share\Payroll\ydkopbxg.ogg,file
C:\File_Share\Payroll\zi14bm2y.mp3,file
C:\File_Share\Public Relations\0qknmvqm.mpeg3,file
C:\File_Share\Public Relations\14zjshrz.midi,file
C:\File_Share\Public Relations\aswb2jpj.ram,file
C:\File_Share\Public Relations\bnkrnh42.mp4,file
C:\File_Share\Public Relations\cxspbn2x.mpeg3,file
C:\File_Share\Public Relations\gpxbbfqy.mpeg2,file
C:\File_Share\Public Relations\h3tsbeqn.mpeg,file
C:\File_Share\Public Relations\j2bq1x35.mpeg,file
C:\File_Share\Public Relations\jkp5zvrj.doc,file
C:\File_Share\Public Relations\mii5zfi1.pptx,file
C:\File_Share\Public Relations\mo2xa0nf.doc,file
C:\File_Share\Public Relations\mrg4p3uw.midi,file
C:\File_Share\Public Relations\nn5dbgvb.avi,file
C:\File_Share\Public Relations\qa5uacwv.dot,file
C:\File_Share\Public Relations\rysumsbd.rm,file
C:\File_Share\Public Relations\tlb55myn.mp3,file
C:\File_Share\Public Relations\tpngtsle.mpg,file
C:\File_Share\Public Relations\tyacfdva.mpeg,file
C:\File_Share\Purchasing\02u5d5ux.ram,file
C:\File_Share\Purchasing\0i30qndv.mpeg,file
C:\File_Share\Purchasing\0j5o4zx4.midi,file
C:\File_Share\Purchasing\13i0i4td.dot,file
C:\File_Share\Purchasing\1wvis2lr.mpg,file
C:\File_Share\Purchasing\4uagemyn.midi,file
C:\File_Share\Purchasing\5fvi3mnb.pptx,file
C:\File_Share\Purchasing\a0vs0wzk.wma,file
C:\File_Share\Purchasing\crwo43ji.midi,file
C:\File_Share\Purchasing\cyqmq1y0.wma,file
C:\File_Share\Purchasing\d2u1j52b.ppt,file
C:\File_Share\Purchasing\fnmcrpiu.docx,file
C:\File_Share\Purchasing\fod5puu0.wma,file
C:\File_Share\Purchasing\fseq4w2p.mp4,file
C:\File_Share\Purchasing\je5tdid0.doc,file
C:\File_Share\Purchasing\k4khzdxr.wmv,file
C:\File_Share\Purchasing\le13fzdc.mpeg2,file
C:\File_Share\Purchasing\lzsgtg02.doc,file
C:\File_Share\Purchasing\mqagnvp4.doc,file
C:\File_Share\Purchasing\n1rgmfkp.ogg,file
C:\File_Share\Purchasing\naninkqo.mpeg3,file
C:\File_Share\Purchasing\pojuwkjm.wmv,file
C:\File_Share\Purchasing\pru4p01v.pdf,file
C:\File_Share\Purchasing\s2nlblyq.mp3,file
C:\File_Share\Purchasing\tuypa31p.pptx,file
C:\File_Share\Purchasing\vie44er3.xls,file
C:\File_Share\Purchasing\y00fto0t.mpg,file
C:\File_Share\Purchasing\ya2cgv24.mpg,file
C:\File_Share\Purchasing\zp0r5ubt.ppt,file
C:\File_Share\Purchasing\zwfunhmq.docx,file
C:\File_Share\Recruitment\3fooaswo.mp4,file
C:\File_Share\Recruitment\3p5ucpyj.docx,file
C:\File_Share\Recruitment\5yshwfig.pptx,file
C:\File_Share\Recruitment\bvjqv4zr.ogg,file
C:\File_Share\Recruitment\d2vmsxtn.wma,file
C:\File_Share\Recruitment\dmhmv1b5.mp3,file
C:\File_Share\Recruitment\gfp3pxu0.mpeg2,file
C:\File_Share\Recruitment\hu2nsehw.doc,file
C:\File_Share\Recruitment\jie41uie.docx,file
C:\File_Share\Recruitment\jud0zc50.pdf,file
C:\File_Share\Recruitment\jufcvesd.pptx,file
C:\File_Share\Recruitment\klpddngr.pptx,file
C:\File_Share\Recruitment\mzvvbskk.ram,file
C:\File_Share\Recruitment\ng0wffyg.docx,file
C:\File_Share\Recruitment\omgikoep.midi,file
C:\File_Share\Recruitment\qoeihgyf.dot,file
C:\File_Share\Recruitment\uezbndtu.mpeg2,file
C:\File_Share\Recruitment\uscirayq.doc,file
C:\File_Share\Recruitment\yo2n2cxc.mov,file
C:\File_Share\Recruitment\zqvpnqno.pptx,file
C:\File_Share\Research and Development\0vkxaypv.wma,file
C:\File_Share\Research and Development\100fyq5o.doc,file
C:\File_Share\Research and Development\2txdhlq3.wma,file
C:\File_Share\Research and Development\42xv1pqu.pdf,file
C:\File_Share\Research and Development\5eui5kly.docx,file
C:\File_Share\Research and Development\5yuxmgmm.rm,file
C:\File_Share\Research and Development\bu0gsxhp.doc,file
C:\File_Share\Research and Development\dredeofk.mpg,file
C:\File_Share\Research and Development\gjkcxn5g.ram,file
C:\File_Share\Research and Development\gqorwbsc.midi,file
C:\File_Share\Research and Development\isssrlg2.wmv,file
C:\File_Share\Research and Development\kgviyr4s.rm,file
C:\File_Share\Research and Development\kn20yhm2.pptx,file
C:\File_Share\Research and Development\nzob040g.rm,file
C:\File_Share\Research and Development\pnnoih0q.ppt,file
C:\File_Share\Research and Development\prepculu.docx,file
C:\File_Share\Research and Development\pzmniwa3.pptx,file
C:\File_Share\Research and Development\r0s34guj.xls,file
C:\File_Share\Research and Development\rfelzu2k.ram,file
C:\File_Share\Research and Development\s05hyqah.xls,file
C:\File_Share\Research and Development\stgmvu5y.dot,file
C:\File_Share\Research and Development\tfzwfyk2.mpeg,file
C:\File_Share\Research and Development\x3tbgkjh.rm,file
C:\File_Share\Research and Development\xmyf3epd.docx,file
C:\File_Share\Research and Development\zeucitwp.mp3,file
C:\File_Share\Research and Development\znidylsw.mpeg2,file
C:\File_Share\Sales\5k3hixn4.doc,file
C:\File_Share\Sales\ah2x325b.wmv,file
C:\File_Share\Sales\ilwqisdp.ram,file
C:\File_Share\Sales\kydypdly.mov,file
C:\File_Share\Sales\q24fxkm0.mpg,file
C:\File_Share\Sales\qwco0inj.wma,file
C:\File_Share\Sales\tc1pr4pb.mpeg,file
C:\File_Share\Sales\vwrtmngd.mpeg2,file
C:\File_Share\Sales\wa5o3lp0.doc,file
C:\File_Share\Sales\yo1zwkyv.wma,file
C:\File_Share\Sales\zkwizd4r.avi,file
C:\File_Share\Service Desk Operators\0k1vjx0a.ram,file
C:\File_Share\Service Desk Operators\0wyrv0sh.ogg,file
C:\File_Share\Service Desk Operators\4r104zev.mpeg,file
C:\File_Share\Service Desk Operators\5cnqrsy0.rm,file
C:\File_Share\Service Desk Operators\5rfndfht.wma,file
C:\File_Share\Service Desk Operators\5uepqlqy.doc,file
C:\File_Share\Service Desk Operators\ccahl5bv.dot,file
C:\File_Share\Service Desk Operators\cdidrzji.wmv,file
C:\File_Share\Service Desk Operators\d4k44gum.rm,file
C:\File_Share\Service Desk Operators\dbvlaap0.docx,file
C:\File_Share\Service Desk Operators\dfxvbqm4.mpg,file
C:\File_Share\Service Desk Operators\djweahky.ram,file
C:\File_Share\Service Desk Operators\e4edcmxi.wma,file
C:\File_Share\Service Desk Operators\krbn2w5v.docx,file
C:\File_Share\Service Desk Operators\l1y0ojcl.ram,file
C:\File_Share\Service Desk Operators\lapr31qw.doc,file
C:\File_Share\Service Desk Operators\lnp1xrcm.pptx,file
C:\File_Share\Service Desk Operators\mk2bhth2.xls,file
C:\File_Share\Service Desk Operators\ogbz4ddp.mpeg3,file
C:\File_Share\Service Desk Operators\py1nwqh1.avi,file
C:\File_Share\Service Desk Operators\rbeipyus.docx,file
C:\File_Share\Service Desk Operators\ugkwgcuj.doc,file
C:\File_Share\Service Desk Operators\uqmu5ult.wma,file
C:\File_Share\Service Desk Operators\veljdhdu.mpg,file
C:\File_Share\Service Desk Operators\wl30thzj.pdf,file
C:\File_Share\Service Desk Operators\zdbxz1gg.mpeg3,file
C:\File_Share\Strategic Information Systems\0n4vgp3g.mov,file
C:\File_Share\Strategic Information Systems\3h5axqww.mp3,file
C:\File_Share\Strategic Information Systems\3mzmumj3.pdf,file
C:\File_Share\Strategic Information Systems\4vghnve5.dot,file
C:\File_Share\Strategic Information Systems\5mi2va1e.midi,file
C:\File_Share\Strategic Information Systems\ctjpv5c4.ram,file
C:\File_Share\Strategic Information Systems\eciqrbxz.docx,file
C:\File_Share\Strategic Information Systems\hq4cbhnj.ppt,file
C:\File_Share\Strategic Information Systems\ihst5ies.pptx,file
C:\File_Share\Strategic Information Systems\iowboxs1.ram,file
C:\File_Share\Strategic Information Systems\j4v0zysv.pptx,file
C:\File_Share\Strategic Information Systems\k2dw4lcp.ogg,file
C:\File_Share\Strategic Information Systems\k4or3g0u.pptx,file
C:\File_Share\Strategic Information Systems\lk1cagme.pptx,file
C:\File_Share\Strategic Information Systems\nberjjqs.mpg,file
C:\File_Share\Strategic Information Systems\nhlnbkb4.midi,file
C:\File_Share\Strategic Information Systems\njaylopi.mpeg3,file
C:\File_Share\Strategic Information Systems\noyscbhs.docx,file
C:\File_Share\Strategic Information Systems\quevjlhj.mpg,file
C:\File_Share\Strategic Information Systems\spkt11sm.wma,file
C:\File_Share\Strategic Information Systems\xu4snh42.avi,file
C:\File_Share\Strategic Information Systems\y0f0txet.mov,file
C:\File_Share\Strategic Information Systems\ykhcq2ou.xls,file
C:\File_Share\Strategic Information Systems\zckpd1y1.pptx,file
C:\File_Share\Strategic Information Systems\zs3ot0uw.ppt,file
C:\File_Share\Strategic Marketing\1zq2sd0v.doc,file
C:\File_Share\Strategic Marketing\3gcdrqlu.ram,file
C:\File_Share\Strategic Marketing\3uau5vwa.pptx,file
C:\File_Share\Strategic Marketing\4a4lipw5.docx,file
C:\File_Share\Strategic Marketing\4j102iz2.doc,file
C:\File_Share\Strategic Marketing\aqwsgbcs.midi,file
C:\File_Share\Strategic Marketing\bwkcuj0x.mov,file
C:\File_Share\Strategic Marketing\fzoplz31.rm,file
C:\File_Share\Strategic Marketing\h0yhe5rp.ogg,file
C:\File_Share\Strategic Marketing\hj4bw2tl.rm,file
C:\File_Share\Strategic Marketing\idrym0hw.xls,file
C:\File_Share\Strategic Marketing\ng4zln22.rm,file
C:\File_Share\Strategic Marketing\nj3xudni.mpeg3,file
C:\File_Share\Strategic Marketing\o5ugbt21.docx,file
C:\File_Share\Strategic Marketing\orav3bx1.mpg,file
C:\File_Share\Strategic Marketing\rp1ah0bs.avi,file
C:\File_Share\Strategic Marketing\s13y2acb.ram,file
C:\File_Share\Strategic Marketing\s1rjzazs.mpg,file
C:\File_Share\Strategic Marketing\sb013com.mov,file
C:\File_Share\Strategic Marketing\teqtcl13.docx,file
C:\File_Share\Strategic Marketing\x0jmc1bm.midi,file
