Member,Group
345242,Information Technology
577862,Research and Development
329638,Purchasing
200709,Finance
715794,IT Support
736417,Public Relations
261917,Public Relations
441734,Information Technology
576792,Customer Service
377922,Logistics
909823,Logistics
130812,Sales
432383,Operations
855803,Account Management
671262,Customer Service
891722,Recruitment
769664,Telesales
865398,Data Entry
558803,Customer Service
417634,Accounting
801495,Strategic Marketing
168521,Public Relations
174489,Telesales
396060,Account Management
409337,Corporate Communications
300853,Research and Development
724400,Marketing
984972,Marketing
983289,IT Support
629829,IT Support
864972,Finance
516225,IT Support
336198,Information Technology
939690,Strategic Sourcing
805606,Payroll
736404,Payroll
947342,IT Support
870672,Payroll
540765,Advertising Market Research
686443,Account Management
464512,Research and Development
661590,Strategic Marketing
981933,Finance
325058,Customer Service
644035,Human Resources
991068,Marketing
974684,Recruitment
875017,Recruitment
783687,Finance
728715,Advertising Market Research
265079,IT Support
875904,Account Management
751375,Corporate Communications
633673,Accounting
962611,Recruitment
167852,Payroll
493476,Sales
662913,Information Technology
963268,Strategic Information Systems
593753,Marketing
875181,Strategic Sourcing
261504,Information Technology
725412,Sales
117927,Corporate Communications
927691,Accounting
377688,Strategic Information Systems
500101,Sales
510745,Recruitment
839262,Recruitment
830014,Finance
528224,IT Support
377259,Research and Development
406306,Data Entry
711510,Training
443777,Training
832550,Human Resources
675267,Strategic Information Systems
903916,Payroll
813502,Finance
753327,Account Management
507084,Corporate Communications
627032,Operations
838547,Strategic Marketing
668252,Research and Development
937705,Operations
954684,Data Entry
449357,Research and Development
828909,Information Technology
767647,Accounting
381888,Training
443047,Corporate Communications
355570,Finance
733647,Strategic Sourcing
939110,Marketing
121727,Logistics
743604,Training
992775,Accounting
745091,Strategic Marketing
640133,Human Resources
772365,Purchasing
436599,Customer Service
714284,Account Management
889037,Public Relations
388576,Finance
274732,Customer Service
909288,Strategic Sourcing
790306,Data Entry
229896,Research and Development
429545,Sales
832812,Marketing
425010,Information Technology
269872,Training
577497,Human Resources
318510,Payroll
425844,Strategic Marketing
396580,Human Resources
572506,Customer Service
139717,Strategic Information Systems
226869,Account Management
934582,Operations
959671,Finance
517292,Human Resources
663994,Purchasing
694788,Human Resources
461524,Telesales
520323,Telesales
646544,Operations
869028,Payroll
667068,Advertising Market Research
136092,Account Management
157895,Strategic Marketing
752460,Marketing
709191,Strategic Marketing
756378,Corporate Communications
473420,Accounting
460375,Customer Service
441191,Strategic Marketing
620687,Purchasing
769724,Logistics
143055,Sales
977442,Purchasing
279972,Training
232603,Advertising Market Research
554778,Advertising Market Research
426583,Telesales
178524,Telesales
800514,Finance
983950,Account Management
125095,Training
199584,Human Resources
491824,Marketing
750816,Corporate Communications
307428,Telesales
764462,Telesales
576847,Data Entry
926674,Information Technology
897667,Accounting
687794,Operations
240814,Strategic Sourcing
718468,Telesales
746836,Human Resources
427506,Data Entry
304360,Sales
428163,Operations
683498,Recruitment
375044,Research and Development
207532,Payroll
441634,Strategic Sourcing
366060,Finance
336717,Purchasing
112571,Strategic Sourcing
548598,Operations
961726,Marketing
990458,Data Entry
119597,Strategic Marketing
238236,Strategic Sourcing
415146,Human Resources
450986,Payroll
995415,Recruitment
982400,Payroll
214416,IT Support
286919,Research and Development
938439,Data Entry
918121,Accounting
249136,Customer Service
394762,Sales
684617,Data Entry
837107,Marketing
285685,Operations
696688,Logistics
389891,Marketing
518236,Telesales
459823,Sales
579679,Accounting
587140,Purchasing
192004,Training
517056,Research and Development
782866,Purchasing
557116,Public Relations
591657,Account Management
529633,Sales
921098,Information Technology
340512,Account Management
900249,Purchasing
102825,Purchasing
471335,Payroll
230764,Marketing
123796,Sales
332467,Logistics
179471,Accounting
254870,Human Resources
477398,Strategic Sourcing
861851,Account Management
288711,IT Support
476977,Logistics
447007,Marketing
843655,Strategic Marketing
802473,Accounting
458781,Training
750831,Logistics
913506,Marketing
988977,Telesales
281224,Research and Development
408503,Marketing
826264,Operations
673772,Data Entry
751756,Operations
533159,Advertising Market Research
300479,Strategic Information Systems
137373,Corporate Communications
841993,Finance
231801,Recruitment
235644,Logistics
168855,Information Technology
501675,IT Support
527174,Logistics
586814,Human Resources
298197,IT Support
925484,Human Resources
193763,Logistics
193295,Telesales
239808,Strategic Marketing
275761,Research and Development
722553,Operations
927008,Public Relations
999435,Strategic Marketing
734206,Training
239546,Purchasing
662624,Research and Development
535436,IT Support
177016,Strategic Marketing
696690,Recruitment
698583,Accounting
706532,Human Resources
698197,Public Relations
823008,Telesales
813628,Data Entry
441321,IT Support
156826,Advertising Market Research
601200,Customer Service
247998,Corporate Communications
585976,Information Technology
167946,Strategic Sourcing
414922,Strategic Marketing
563300,Strategic Information Systems
733049,Corporate Communications
752387,Account Management
962280,Marketing
941364,Corporate Communications
763992,Training
798215,Recruitment
776756,Sales
181427,Finance
262746,Operations
464296,IT Support
181622,Marketing
923161,Training
745892,Recruitment
258394,Marketing
824374,Account Management
490472,Strategic Sourcing
352880,Strategic Sourcing
184874,Sales
552542,Training
782748,Strategic Marketing
622901,Logistics
385392,Purchasing
515865,Purchasing
678538,Public Relations
628432,Strategic Information Systems
908525,Public Relations
891913,Human Resources
178967,Operations
254881,Strategic Sourcing
848505,Payroll
631320,Finance
177349,Corporate Communications
380076,Purchasing
475769,Corporate Communications
528354,Information Technology
185758,Telesales
251751,Customer Service
172053,Recruitment
480516,Payroll
650679,Data Entry
298864,Customer Service
574455,Strategic Information Systems
747667,Finance
228543,Strategic Sourcing
471447,Human Resources
483934,Finance
940772,Strategic Information Systems
377328,Marketing
577480,Account Management
886667,Strategic Sourcing
256485,Accounting
184481,Data Entry
799745,Public Relations
463824,Operations
440959,Information Technology
283787,Human Resources
908555,Telesales
104190,Advertising Market Research
430468,grp-Contoso-local-22
430468,grp-Contoso-local-32
430468,grp-Contoso-local-20
633238,grp-Contoso-universal-5
633238,grp-Contoso-universal-14
633238,grp-Contoso-local-11
713569,grp-Contoso-local-35
713569,grp-Contoso-universal-31
713569,grp-Contoso-local-23
813082,grp-Contoso-universal-27
813082,grp-Contoso-local-18
813082,grp-Contoso-universal-5
728309,grp-Contoso-universal-11
728309,grp-Contoso-local-32
728309,grp-Contoso-universal-18
635659,grp-Contoso-universal-18
635659,grp-Contoso-local-20
635659,grp-Contoso-local-12
988009,grp-Contoso-local-5
988009,grp-Contoso-universal-15
988009,grp-Contoso-local-13
208325,grp-Contoso-local-36
208325,grp-Contoso-local-20
208325,grp-Contoso-local-9
685039,grp-Contoso-universal-26
685039,grp-Contoso-universal-24
685039,grp-Contoso-universal-16
622457,grp-Contoso-local-21
622457,grp-Contoso-universal-13
622457,grp-Contoso-local-8
483455,grp-Contoso-local-27
483455,grp-Contoso-universal-22
483455,grp-Contoso-local-1
181795,grp-Contoso-local-32
181795,grp-Contoso-universal-10
181795,grp-Contoso-local-11
792925,grp-Contoso-local-38
792925,grp-Contoso-local-15
792925,grp-Contoso-local-24
784147,grp-Contoso-local-10
784147,grp-Contoso-local-39
784147,grp-Contoso-local-36
913262,grp-Contoso-universal-32
913262,grp-Contoso-local-25
913262,grp-Contoso-universal-15
277244,grp-Contoso-local-21
277244,grp-Contoso-local-37
277244,grp-Contoso-universal-30
943664,grp-Contoso-local-37
943664,grp-Contoso-local-17
943664,grp-Contoso-universal-25
396430,grp-Contoso-local-32
396430,grp-Contoso-local-6
396430,grp-Contoso-universal-11
992904,grp-Contoso-local-12
992904,grp-Contoso-universal-30
992904,grp-Contoso-universal-26
483414,grp-Contoso-local-17
483414,grp-Contoso-local-38
483414,grp-Contoso-universal-32
895389,grp-Contoso-local-12
895389,grp-Contoso-universal-20
895389,grp-Contoso-local-27
996993,grp-Contoso-local-13
996993,grp-Contoso-local-2
996993,grp-Contoso-universal-31
692609,grp-Contoso-local-36
692609,grp-Contoso-local-9
692609,grp-Contoso-universal-2
361511,grp-Contoso-local-1
361511,grp-Contoso-local-30
361511,grp-Contoso-universal-28
461794,grp-Contoso-local-7
461794,grp-Contoso-local-9
461794,grp-Contoso-universal-22
850097,grp-Contoso-local-10
850097,grp-Contoso-universal-12
850097,grp-Contoso-local-10
515254,grp-Contoso-universal-27
515254,grp-Contoso-local-14
515254,grp-Contoso-local-32
561464,grp-Contoso-universal-1
561464,grp-Contoso-local-39
561464,grp-Contoso-local-19
279254,grp-Contoso-local-13
279254,grp-Contoso-local-10
279254,grp-Contoso-local-13
456411,grp-Contoso-local-22
456411,grp-Contoso-local-21
456411,grp-Contoso-local-8
271740,grp-Contoso-local-39
271740,grp-Contoso-universal-12
271740,grp-Contoso-local-26
864444,grp-Contoso-local-8
864444,grp-Contoso-local-39
864444,grp-Contoso-universal-15
144729,grp-Contoso-local-27
144729,grp-Contoso-local-19
144729,grp-Contoso-universal-23
217339,grp-Contoso-local-19
217339,grp-Contoso-local-3
217339,grp-Contoso-universal-25
207010,grp-Contoso-local-24
207010,grp-Contoso-local-39
207010,grp-Contoso-local-36
694619,grp-Contoso-local-26
694619,grp-Contoso-universal-15
694619,grp-Contoso-universal-24
615949,grp-Contoso-local-19
615949,grp-Contoso-local-19
615949,grp-Contoso-local-13
154287,grp-Contoso-universal-25
154287,grp-Contoso-universal-25
154287,grp-Contoso-universal-1
695641,grp-Contoso-universal-19
695641,grp-Contoso-local-30
695641,grp-Contoso-local-32
319174,grp-Contoso-universal-28
319174,grp-Contoso-local-30
319174,grp-Contoso-universal-6
927274,grp-Contoso-universal-2
927274,grp-Contoso-local-3
927274,grp-Contoso-local-13
452608,grp-Contoso-universal-31
452608,grp-Contoso-universal-31
452608,grp-Contoso-universal-19
559007,grp-Contoso-local-2
559007,grp-Contoso-local-21
559007,grp-Contoso-universal-24
577140,grp-Contoso-universal-28
577140,grp-Contoso-local-37
577140,grp-Contoso-universal-10
485602,grp-Contoso-universal-11
485602,grp-Contoso-local-7
485602,grp-Contoso-universal-24
195282,grp-Contoso-universal-27
195282,grp-Contoso-universal-3
195282,grp-Contoso-universal-18
328167,grp-Contoso-universal-27
328167,grp-Contoso-local-11
328167,grp-Contoso-local-5
314825,grp-Contoso-local-5
314825,grp-Contoso-universal-29
314825,grp-Contoso-universal-26
706170,grp-Contoso-universal-24
706170,grp-Contoso-universal-21
706170,grp-Contoso-universal-21
952585,grp-Contoso-local-20
952585,grp-Contoso-local-25
952585,grp-Contoso-local-3
682307,grp-Contoso-local-21
682307,grp-Contoso-universal-29
682307,grp-Contoso-local-18
733859,grp-Contoso-universal-23
733859,grp-Contoso-local-15
733859,grp-Contoso-universal-15
668976,grp-Contoso-local-36
668976,grp-Contoso-local-18
668976,grp-Contoso-local-26
545057,grp-Contoso-universal-15
545057,grp-Contoso-local-22
545057,grp-Contoso-universal-28
300341,grp-Contoso-universal-27
300341,grp-Contoso-universal-15
300341,grp-Contoso-universal-2
307177,grp-Contoso-local-27
307177,grp-Contoso-local-26
307177,grp-Contoso-local-2
296588,grp-Contoso-local-23
296588,grp-Contoso-local-11
296588,grp-Contoso-local-25
285634,grp-Contoso-local-22
285634,grp-Contoso-universal-4
285634,grp-Contoso-universal-14
777212,grp-Contoso-local-9
777212,grp-Contoso-universal-25
777212,grp-Contoso-universal-30
800938,grp-Contoso-local-34
800938,grp-Contoso-local-17
800938,grp-Contoso-local-17
474048,grp-Contoso-local-19
474048,grp-Contoso-universal-19
474048,grp-Contoso-local-34
389398,grp-Contoso-universal-19
389398,grp-Contoso-local-17
389398,grp-Contoso-universal-23
294097,grp-Contoso-local-17
294097,grp-Contoso-universal-10
294097,grp-Contoso-universal-25
470838,grp-Contoso-local-19
470838,grp-Contoso-local-11
470838,grp-Contoso-local-7
814547,grp-Contoso-universal-2
814547,grp-Contoso-local-10
814547,grp-Contoso-universal-32
582455,grp-Contoso-universal-24
582455,grp-Contoso-local-34
582455,grp-Contoso-universal-29
238763,grp-Contoso-universal-28
238763,grp-Contoso-universal-8
238763,grp-Contoso-local-9
499059,grp-Contoso-local-6
499059,grp-Contoso-universal-23
499059,grp-Contoso-universal-25
330687,grp-Contoso-local-1
330687,grp-Contoso-universal-22
330687,grp-Contoso-local-31
378315,grp-Contoso-universal-18
378315,grp-Contoso-local-39
378315,grp-Contoso-universal-15
192709,grp-Contoso-universal-2
192709,grp-Contoso-local-22
192709,grp-Contoso-universal-7
539936,grp-Contoso-universal-9
539936,grp-Contoso-universal-12
539936,grp-Contoso-local-22
636755,grp-Contoso-local-8
636755,grp-Contoso-universal-2
636755,grp-Contoso-universal-25
720531,grp-Contoso-local-5
720531,grp-Contoso-local-7
720531,grp-Contoso-local-22
813446,grp-Contoso-local-38
813446,grp-Contoso-universal-7
813446,grp-Contoso-local-37
321246,grp-Contoso-local-26
321246,grp-Contoso-local-20
321246,grp-Contoso-local-29
743530,grp-Contoso-local-24
743530,grp-Contoso-local-12
743530,grp-Contoso-universal-5
467293,grp-Contoso-universal-6
467293,grp-Contoso-local-14
467293,grp-Contoso-universal-12
579734,grp-Contoso-local-20
579734,grp-Contoso-local-1
579734,grp-Contoso-universal-24
814341,grp-Contoso-local-17
814341,grp-Contoso-local-24
814341,grp-Contoso-local-8
355177,grp-Contoso-local-17
355177,grp-Contoso-universal-23
355177,grp-Contoso-universal-29
265209,grp-Contoso-universal-27
265209,grp-Contoso-universal-22
265209,grp-Contoso-local-38
451985,grp-Contoso-local-4
451985,grp-Contoso-local-13
451985,grp-Contoso-local-23
574626,grp-Contoso-local-3
574626,grp-Contoso-universal-30
574626,grp-Contoso-universal-21
536818,grp-Contoso-universal-14
536818,grp-Contoso-local-11
536818,grp-Contoso-local-22
265759,grp-Contoso-universal-22
265759,grp-Contoso-local-25
265759,grp-Contoso-universal-19
734019,grp-Contoso-local-7
734019,grp-Contoso-local-26
734019,grp-Contoso-local-5
588957,grp-Contoso-universal-13
588957,grp-Contoso-local-20
588957,grp-Contoso-local-34
474391,grp-Contoso-local-14
474391,grp-Contoso-universal-22
474391,grp-Contoso-local-39
574312,grp-Contoso-universal-6
574312,grp-Contoso-local-38
574312,grp-Contoso-universal-8
372349,grp-Contoso-local-14
372349,grp-Contoso-universal-11
372349,grp-Contoso-universal-28
847478,grp-Contoso-universal-11
847478,grp-Contoso-universal-31
847478,grp-Contoso-local-39
678119,grp-Contoso-local-34
678119,grp-Contoso-universal-22
678119,grp-Contoso-local-37
681676,grp-Contoso-local-33
681676,grp-Contoso-local-18
681676,grp-Contoso-local-17
856334,grp-Contoso-universal-2
856334,grp-Contoso-local-10
856334,grp-Contoso-universal-11
613661,grp-Contoso-universal-12
613661,grp-Contoso-local-30
613661,grp-Contoso-local-17
678622,grp-Contoso-universal-24
678622,grp-Contoso-local-16
678622,grp-Contoso-universal-18
623648,grp-Contoso-local-39
623648,grp-Contoso-universal-21
623648,grp-Contoso-local-37
960802,grp-Contoso-universal-20
960802,grp-Contoso-local-36
960802,grp-Contoso-universal-32
808018,grp-Contoso-local-20
808018,grp-Contoso-local-20
808018,grp-Contoso-local-33
523731,grp-Contoso-local-27
523731,grp-Contoso-local-21
523731,grp-Contoso-local-6
288286,grp-Contoso-universal-29
288286,grp-Contoso-local-10
288286,grp-Contoso-universal-7
655532,grp-Contoso-universal-20
655532,grp-Contoso-universal-32
655532,grp-Contoso-universal-8
406905,grp-Contoso-local-27
406905,grp-Contoso-local-35
406905,grp-Contoso-universal-28
139077,grp-Contoso-local-2
139077,grp-Contoso-local-25
139077,grp-Contoso-local-38
950687,grp-Contoso-local-37
950687,grp-Contoso-universal-17
950687,grp-Contoso-universal-20
996370,grp-Contoso-universal-27
996370,grp-Contoso-local-14
996370,grp-Contoso-universal-22
974436,grp-Contoso-universal-17
974436,grp-Contoso-universal-5
974436,grp-Contoso-universal-9
178957,grp-Contoso-local-38
178957,grp-Contoso-local-21
178957,grp-Contoso-local-38
949003,grp-Contoso-universal-1
949003,grp-Contoso-local-14
949003,grp-Contoso-local-5
541882,grp-Contoso-local-14
541882,grp-Contoso-universal-16
541882,grp-Contoso-local-13
256796,grp-Contoso-universal-31
256796,grp-Contoso-universal-27
256796,grp-Contoso-universal-23
739528,grp-Contoso-local-30
739528,grp-Contoso-local-26
739528,grp-Contoso-local-24
270421,grp-Contoso-universal-20
270421,grp-Contoso-local-18
270421,grp-Contoso-local-6
356326,grp-Contoso-local-25
356326,grp-Contoso-local-9
356326,grp-Contoso-local-6
166732,grp-Contoso-local-25
166732,grp-Contoso-universal-13
166732,grp-Contoso-local-3
805591,grp-Contoso-local-12
805591,grp-Contoso-universal-30
805591,grp-Contoso-universal-31
588731,grp-Contoso-universal-7
588731,grp-Contoso-local-20
588731,grp-Contoso-universal-14
892398,grp-Contoso-universal-15
892398,grp-Contoso-local-21
892398,grp-Contoso-universal-26
156523,grp-Contoso-local-7
156523,grp-Contoso-local-5
156523,grp-Contoso-universal-15
838012,grp-Contoso-local-26
838012,grp-Contoso-universal-5
838012,grp-Contoso-local-7
980291,grp-Contoso-local-31
980291,grp-Contoso-local-34
980291,grp-Contoso-local-21
220397,grp-Contoso-local-20
220397,grp-Contoso-universal-11
220397,grp-Contoso-universal-16
230475,grp-Contoso-local-10
230475,grp-Contoso-local-24
230475,grp-Contoso-local-31
971772,grp-Contoso-local-10
971772,grp-Contoso-universal-12
971772,grp-Contoso-local-8
858939,grp-Contoso-universal-32
858939,grp-Contoso-universal-20
858939,grp-Contoso-local-9
875485,grp-Contoso-universal-24
875485,grp-Contoso-local-28
875485,grp-Contoso-local-6
631484,grp-Contoso-universal-5
631484,grp-Contoso-universal-21
631484,grp-Contoso-universal-14
369180,grp-Contoso-local-18
369180,grp-Contoso-local-12
369180,grp-Contoso-local-39
635408,grp-Contoso-universal-32
635408,grp-Contoso-universal-7
635408,grp-Contoso-local-6
610561,grp-Contoso-local-3
610561,grp-Contoso-universal-15
610561,grp-Contoso-universal-11
709074,grp-Contoso-local-23
709074,grp-Contoso-universal-4
709074,grp-Contoso-local-16
692408,grp-Contoso-local-7
692408,grp-Contoso-local-38
692408,grp-Contoso-local-13
217382,grp-Contoso-universal-23
217382,grp-Contoso-universal-26
217382,grp-Contoso-universal-26
420783,grp-Contoso-local-10
420783,grp-Contoso-local-13
420783,grp-Contoso-universal-7
613274,grp-Contoso-universal-27
613274,grp-Contoso-local-13
613274,grp-Contoso-universal-18
202218,grp-Contoso-local-35
202218,grp-Contoso-universal-22
202218,grp-Contoso-local-23
857631,grp-Contoso-local-8
857631,grp-Contoso-local-9
857631,grp-Contoso-universal-14
378909,grp-Contoso-local-38
378909,grp-Contoso-universal-25
378909,grp-Contoso-universal-24
309913,grp-Contoso-universal-1
309913,grp-Contoso-local-13
309913,grp-Contoso-local-34
598628,grp-Contoso-local-16
598628,grp-Contoso-local-37
598628,grp-Contoso-local-28
871000,grp-Contoso-universal-12
871000,grp-Contoso-universal-18
871000,grp-Contoso-universal-27
962554,grp-Contoso-universal-23
962554,grp-Contoso-local-21
962554,grp-Contoso-local-35
742954,grp-Contoso-local-33
742954,grp-Contoso-local-25
742954,grp-Contoso-local-8
261798,grp-Contoso-local-4
261798,grp-Contoso-universal-28
261798,grp-Contoso-universal-9
925654,grp-Contoso-local-8
925654,grp-Contoso-local-7
925654,grp-Contoso-local-34
553777,grp-Contoso-local-10
553777,grp-Contoso-local-15
553777,grp-Contoso-universal-2
330582,grp-Contoso-local-36
330582,grp-Contoso-local-36
330582,grp-Contoso-local-36
357453,grp-Contoso-universal-29
357453,grp-Contoso-universal-13
357453,grp-Contoso-local-12
723985,grp-Contoso-local-33
723985,grp-Contoso-local-14
723985,grp-Contoso-local-6
265173,grp-Contoso-local-21
265173,grp-Contoso-universal-14
265173,grp-Contoso-local-26
239175,grp-Contoso-local-2
239175,grp-Contoso-local-17
239175,grp-Contoso-universal-6
397323,grp-Contoso-local-39
397323,grp-Contoso-local-39
397323,grp-Contoso-universal-3
139880,grp-Contoso-local-27
139880,grp-Contoso-local-37
139880,grp-Contoso-local-9
254303,grp-Contoso-universal-7
254303,grp-Contoso-local-12
254303,grp-Contoso-local-8
652781,grp-Contoso-local-32
652781,grp-Contoso-universal-25
652781,grp-Contoso-local-9
910539,grp-Contoso-universal-19
910539,grp-Contoso-universal-13
910539,grp-Contoso-local-8
175961,grp-Contoso-universal-12
175961,grp-Contoso-universal-12
175961,grp-Contoso-local-19
979660,grp-Contoso-local-24
979660,grp-Contoso-universal-23
979660,grp-Contoso-local-30
801424,grp-Contoso-universal-29
801424,grp-Contoso-universal-32
801424,grp-Contoso-local-8
185436,grp-Contoso-local-19
185436,grp-Contoso-local-7
185436,grp-Contoso-universal-2
151661,grp-Contoso-local-11
151661,grp-Contoso-local-22
151661,grp-Contoso-local-28
458436,grp-Contoso-local-24
458436,grp-Contoso-local-31
458436,grp-Contoso-universal-2
221545,grp-Contoso-universal-11
221545,grp-Contoso-local-7
221545,grp-Contoso-local-38
437598,grp-Contoso-universal-17
437598,grp-Contoso-local-32
437598,grp-Contoso-local-7
345242,grp-Contoso-universal-2
345242,grp-Contoso-local-14
345242,grp-Contoso-universal-32
577862,grp-Contoso-local-17
577862,grp-Contoso-universal-10
577862,grp-Contoso-universal-20
329638,grp-Contoso-local-16
329638,grp-Contoso-universal-1
329638,grp-Contoso-universal-23
200709,grp-Contoso-local-28
200709,grp-Contoso-local-29
200709,grp-Contoso-local-31
715794,grp-Contoso-universal-13
715794,grp-Contoso-local-36
715794,grp-Contoso-local-8
736417,grp-Contoso-local-32
736417,grp-Contoso-local-22
736417,grp-Contoso-universal-15
261917,grp-Contoso-universal-5
261917,grp-Contoso-local-35
261917,grp-Contoso-universal-10
441734,grp-Contoso-local-9
441734,grp-Contoso-local-31
441734,grp-Contoso-universal-30
576792,grp-Contoso-local-33
576792,grp-Contoso-universal-29
576792,grp-Contoso-universal-27
377922,grp-Contoso-universal-24
377922,grp-Contoso-universal-14
377922,grp-Contoso-local-38
909823,grp-Contoso-local-39
909823,grp-Contoso-local-35
909823,grp-Contoso-universal-26
130812,grp-Contoso-universal-14
130812,grp-Contoso-universal-26
130812,grp-Contoso-local-19
432383,grp-Contoso-local-1
432383,grp-Contoso-universal-20
432383,grp-Contoso-universal-5
855803,grp-Contoso-local-30
855803,grp-Contoso-local-30
855803,grp-Contoso-local-15
671262,grp-Contoso-universal-23
671262,grp-Contoso-universal-27
671262,grp-Contoso-universal-4
891722,grp-Contoso-universal-31
891722,grp-Contoso-local-1
891722,grp-Contoso-local-16
769664,grp-Contoso-local-18
769664,grp-Contoso-universal-28
769664,grp-Contoso-local-24
865398,grp-Contoso-local-18
865398,grp-Contoso-universal-25
865398,grp-Contoso-universal-26
558803,grp-Contoso-local-21
558803,grp-Contoso-local-15
558803,grp-Contoso-local-30
417634,grp-Contoso-local-37
417634,grp-Contoso-universal-25
417634,grp-Contoso-local-39
801495,grp-Contoso-universal-28
801495,grp-Contoso-local-12
801495,grp-Contoso-universal-17
168521,grp-Contoso-local-8
168521,grp-Contoso-local-20
168521,grp-Contoso-local-11
174489,grp-Contoso-local-8
174489,grp-Contoso-local-28
174489,grp-Contoso-local-11
396060,grp-Contoso-universal-2
396060,grp-Contoso-local-31
396060,grp-Contoso-universal-5
409337,grp-Contoso-local-12
409337,grp-Contoso-local-22
409337,grp-Contoso-universal-22
300853,grp-Contoso-local-17
300853,grp-Contoso-local-7
300853,grp-Contoso-universal-31
724400,grp-Contoso-universal-1
724400,grp-Contoso-universal-32
724400,grp-Contoso-local-27
984972,grp-Contoso-local-25
984972,grp-Contoso-universal-25
984972,grp-Contoso-local-17
983289,grp-Contoso-local-5
983289,grp-Contoso-local-20
983289,grp-Contoso-local-26
629829,grp-Contoso-universal-32
629829,grp-Contoso-universal-19
629829,grp-Contoso-local-15
864972,grp-Contoso-local-37
864972,grp-Contoso-local-28
864972,grp-Contoso-universal-12
516225,grp-Contoso-local-19
516225,grp-Contoso-local-37
516225,grp-Contoso-universal-5
336198,grp-Contoso-universal-9
336198,grp-Contoso-universal-16
336198,grp-Contoso-local-37
939690,grp-Contoso-local-37
939690,grp-Contoso-local-10
939690,grp-Contoso-local-29
805606,grp-Contoso-universal-31
805606,grp-Contoso-local-28
805606,grp-Contoso-local-28
736404,grp-Contoso-universal-2
736404,grp-Contoso-universal-19
736404,grp-Contoso-universal-21
947342,grp-Contoso-local-14
947342,grp-Contoso-local-6
947342,grp-Contoso-universal-19
870672,grp-Contoso-local-14
870672,grp-Contoso-universal-30
870672,grp-Contoso-local-35
540765,grp-Contoso-local-6
540765,grp-Contoso-local-24
540765,grp-Contoso-local-31
686443,grp-Contoso-local-3
686443,grp-Contoso-local-12
686443,grp-Contoso-universal-21
464512,grp-Contoso-local-13
464512,grp-Contoso-universal-19
464512,grp-Contoso-local-28
661590,grp-Contoso-universal-3
661590,grp-Contoso-universal-1
661590,grp-Contoso-local-34
981933,grp-Contoso-local-24
981933,grp-Contoso-local-31
981933,grp-Contoso-universal-29
