Member,Group
574297,grp-Fabrikam-universal-3
574297,grp-Fabrikam-universal-11
550434,grp-Fabrikam-universal-14
550434,grp-Fabrikam-local-10
167686,grp-Fabrikam-local-8
167686,grp-Fabrikam-local-11
852382,grp-Fabrikam-local-4
852382,grp-Fabrikam-local-8
483965,grp-Fabrikam-universal-10
483965,grp-Fabrikam-universal-7
565400,grp-Fabrikam-universal-13
565400,grp-Fabrikam-local-1
657258,grp-Fabrikam-local-7
657258,grp-Fabrikam-universal-8
755893,grp-Fabrikam-universal-4
755893,grp-Fabrikam-universal-6
501251,grp-Fabrikam-universal-19
501251,grp-Fabrikam-universal-18
653183,grp-Fabrikam-local-1
653183,grp-Fabrikam-universal-4
748741,grp-Fabrikam-universal-4
748741,grp-Fabrikam-universal-19
490238,grp-Fabrikam-universal-10
490238,grp-Fabrikam-local-2
559858,grp-Fabrikam-local-5
559858,grp-Fabrikam-universal-12
208679,grp-Fabrikam-local-9
208679,grp-Fabrikam-local-5
490175,grp-Fabrikam-universal-13
490175,grp-Fabrikam-local-12
203420,grp-Fabrikam-local-12
203420,grp-Fabrikam-universal-7
842911,grp-Fabrikam-universal-2
842911,grp-Fabrikam-local-3
533961,grp-Fabrikam-universal-17
533961,grp-Fabrikam-universal-8
580831,grp-Fabrikam-universal-2
580831,grp-Fabrikam-universal-11
903348,grp-Fabrikam-universal-14
903348,grp-Fabrikam-universal-7
674026,grp-Fabrikam-universal-15
674026,grp-Fabrikam-local-7
837033,grp-Fabrikam-universal-12
837033,grp-Fabrikam-local-7
402728,grp-Fabrikam-universal-8
402728,grp-Fabrikam-local-8
159561,grp-Fabrikam-universal-10
159561,grp-Fabrikam-local-10
170854,grp-Fabrikam-universal-19
170854,grp-Fabrikam-universal-3
688648,grp-Fabrikam-universal-11
688648,grp-Fabrikam-universal-1
105583,grp-Fabrikam-universal-12
105583,grp-Fabrikam-local-5
266373,grp-Fabrikam-local-11
266373,grp-Fabrikam-local-9
312632,grp-Fabrikam-universal-18
312632,grp-Fabrikam-universal-4
212509,grp-Fabrikam-universal-6
212509,grp-Fabrikam-local-11
602317,grp-Fabrikam-local-2
602317,grp-Fabrikam-universal-5
318336,grp-Fabrikam-universal-14
318336,grp-Fabrikam-local-7
900607,grp-Fabrikam-universal-18
900607,grp-Fabrikam-universal-4
908743,grp-Fabrikam-universal-18
908743,grp-Fabrikam-universal-16
810466,grp-Fabrikam-universal-19
810466,grp-Fabrikam-universal-10
371553,grp-Fabrikam-local-9
371553,grp-Fabrikam-universal-14
440036,grp-Fabrikam-universal-18
440036,grp-Fabrikam-universal-14
622960,grp-Fabrikam-universal-13
622960,grp-Fabrikam-local-7
134445,grp-Fabrikam-universal-7
134445,grp-Fabrikam-universal-11
800739,grp-Fabrikam-local-10
800739,grp-Fabrikam-universal-16
222428,grp-Fabrikam-universal-17
222428,grp-Fabrikam-local-3
654574,grp-Fabrikam-local-2
654574,grp-Fabrikam-local-5
118770,grp-Fabrikam-universal-12
118770,grp-Fabrikam-universal-10
896519,grp-Fabrikam-universal-17
896519,grp-Fabrikam-universal-7
383170,grp-Fabrikam-local-6
383170,grp-Fabrikam-universal-15
806497,grp-Fabrikam-local-2
806497,grp-Fabrikam-universal-10
838092,grp-Fabrikam-local-11
838092,grp-Fabrikam-local-4
671502,grp-Fabrikam-universal-9
671502,grp-Fabrikam-universal-4
943271,grp-Fabrikam-universal-17
943271,grp-Fabrikam-local-6
523478,grp-Fabrikam-universal-15
523478,grp-Fabrikam-local-2
995569,grp-Fabrikam-universal-17
995569,grp-Fabrikam-universal-4
649845,grp-Fabrikam-universal-19
649845,grp-Fabrikam-universal-7
508024,grp-Fabrikam-universal-10
508024,grp-Fabrikam-universal-15
769904,grp-Fabrikam-local-12
769904,grp-Fabrikam-universal-5
142909,grp-Fabrikam-local-5
142909,grp-Fabrikam-universal-10
826991,grp-Fabrikam-local-9
826991,grp-Fabrikam-local-6
808787,grp-Fabrikam-universal-14
808787,grp-Fabrikam-local-11
551043,grp-Fabrikam-local-4
551043,grp-Fabrikam-universal-18
623169,grp-Fabrikam-local-11
623169,grp-Fabrikam-universal-10
929175,grp-Fabrikam-local-7
929175,grp-Fabrikam-local-9
167620,grp-Fabrikam-universal-3
167620,grp-Fabrikam-local-7
856827,grp-Fabrikam-universal-16
856827,grp-Fabrikam-local-1
771515,grp-Fabrikam-local-3
771515,grp-Fabrikam-universal-8
852322,grp-Fabrikam-universal-11
852322,grp-Fabrikam-universal-7
676047,grp-Fabrikam-universal-12
676047,grp-Fabrikam-local-4
657681,grp-Fabrikam-local-12
657681,grp-Fabrikam-universal-14
905074,grp-Fabrikam-local-3
905074,grp-Fabrikam-universal-2
499968,grp-Fabrikam-universal-9
499968,grp-Fabrikam-local-8
357203,grp-Fabrikam-universal-7
357203,grp-Fabrikam-local-10
898153,grp-Fabrikam-local-2
898153,grp-Fabrikam-universal-13
598647,grp-Fabrikam-universal-16
598647,grp-Fabrikam-local-8
207466,grp-Fabrikam-universal-10
207466,grp-Fabrikam-universal-16
555822,grp-Fabrikam-local-4
555822,grp-Fabrikam-local-4
581075,grp-Fabrikam-universal-13
581075,grp-Fabrikam-universal-1
492068,grp-Fabrikam-local-5
492068,grp-Fabrikam-universal-5
465673,grp-Fabrikam-universal-14
465673,grp-Fabrikam-universal-10
923442,grp-Fabrikam-local-3
923442,grp-Fabrikam-universal-15
642069,grp-Fabrikam-local-10
642069,grp-Fabrikam-local-9
566939,grp-Fabrikam-universal-14
566939,grp-Fabrikam-universal-9
670458,grp-Fabrikam-universal-12
670458,grp-Fabrikam-local-8
904990,grp-Fabrikam-universal-6
904990,grp-Fabrikam-local-6
316364,grp-Fabrikam-local-8
316364,grp-Fabrikam-universal-16
633710,grp-Fabrikam-universal-17
633710,grp-Fabrikam-universal-6
214037,grp-Fabrikam-local-5
214037,grp-Fabrikam-local-8
729448,grp-Fabrikam-universal-19
729448,grp-Fabrikam-local-9
543974,grp-Fabrikam-local-1
543974,grp-Fabrikam-local-11
346945,grp-Fabrikam-universal-11
346945,grp-Fabrikam-universal-10
407209,grp-Fabrikam-local-2
407209,grp-Fabrikam-universal-8
827309,grp-Fabrikam-universal-10
827309,grp-Fabrikam-local-5
144288,grp-Fabrikam-universal-3
144288,grp-Fabrikam-universal-14
160492,grp-Fabrikam-universal-19
160492,grp-Fabrikam-universal-11
320368,grp-Fabrikam-local-1
320368,grp-Fabrikam-local-10
408232,grp-Fabrikam-local-9
408232,grp-Fabrikam-universal-5
645962,grp-Fabrikam-universal-7
645962,grp-Fabrikam-universal-13
985384,grp-Fabrikam-universal-15
985384,grp-Fabrikam-universal-11
656600,grp-Fabrikam-universal-13
656600,grp-Fabrikam-local-10
238813,grp-Fabrikam-universal-19
238813,grp-Fabrikam-universal-10
107982,grp-Fabrikam-universal-2
107982,grp-Fabrikam-universal-9
988286,grp-Fabrikam-local-1
988286,grp-Fabrikam-universal-11
577965,grp-Fabrikam-local-7
577965,grp-Fabrikam-local-3
456686,grp-Fabrikam-universal-3
456686,grp-Fabrikam-universal-1
832213,grp-Fabrikam-local-7
832213,grp-Fabrikam-local-7
774132,grp-Fabrikam-universal-8
774132,grp-Fabrikam-local-4
643662,grp-Fabrikam-local-2
643662,grp-Fabrikam-local-9
578718,grp-Fabrikam-universal-4
578718,grp-Fabrikam-local-12
240476,grp-Fabrikam-local-7
240476,grp-Fabrikam-universal-7
132984,grp-Fabrikam-universal-6
132984,grp-Fabrikam-universal-3
757822,grp-Fabrikam-universal-16
757822,grp-Fabrikam-universal-16
234456,grp-Fabrikam-universal-12
234456,grp-Fabrikam-local-9
641836,grp-Fabrikam-universal-16
641836,grp-Fabrikam-universal-15
275001,grp-Fabrikam-local-4
275001,grp-Fabrikam-local-8
911744,grp-Fabrikam-local-8
911744,grp-Fabrikam-universal-19
458465,grp-Fabrikam-universal-2
458465,grp-Fabrikam-universal-8
190408,grp-Fabrikam-universal-13
190408,grp-Fabrikam-universal-11
739201,grp-Fabrikam-universal-13
739201,grp-Fabrikam-universal-17
783805,grp-Fabrikam-universal-11
783805,grp-Fabrikam-universal-6
291552,grp-Fabrikam-universal-9
291552,grp-Fabrikam-universal-11
420069,grp-Fabrikam-universal-9
420069,grp-Fabrikam-universal-3
471774,grp-Fabrikam-local-8
471774,grp-Fabrikam-local-8
647597,grp-Fabrikam-universal-19
647597,grp-Fabrikam-local-7
636183,grp-Fabrikam-universal-7
636183,grp-Fabrikam-universal-3
519698,grp-Fabrikam-universal-3
519698,grp-Fabrikam-local-5
651786,grp-Fabrikam-local-4
651786,grp-Fabrikam-local-9
499511,grp-Fabrikam-local-10
499511,grp-Fabrikam-universal-14
435006,grp-Fabrikam-local-5
435006,grp-Fabrikam-local-2
203190,grp-Fabrikam-universal-14
203190,grp-Fabrikam-universal-9
912615,grp-Fabrikam-universal-6
912615,grp-Fabrikam-local-5
393116,grp-Fabrikam-universal-2
393116,grp-Fabrikam-local-9
659668,grp-Fabrikam-local-10
659668,grp-Fabrikam-local-2
252533,grp-Fabrikam-local-3
252533,grp-Fabrikam-universal-8
857667,grp-Fabrikam-local-12
857667,grp-Fabrikam-universal-10
689683,grp-Fabrikam-local-11
689683,grp-Fabrikam-local-12
509529,grp-Fabrikam-universal-16
509529,grp-Fabrikam-universal-10
895060,grp-Fabrikam-universal-2
895060,grp-Fabrikam-local-12
878425,grp-Fabrikam-universal-9
878425,grp-Fabrikam-local-2
902469,grp-Fabrikam-universal-11
902469,grp-Fabrikam-local-11
397994,grp-Fabrikam-universal-3
397994,grp-Fabrikam-universal-9
117336,grp-Fabrikam-local-7
117336,grp-Fabrikam-universal-11
269002,grp-Fabrikam-local-7
269002,grp-Fabrikam-universal-8
262234,grp-Fabrikam-local-8
262234,grp-Fabrikam-local-8
942569,grp-Fabrikam-local-5
942569,grp-Fabrikam-local-3
520182,grp-Fabrikam-universal-6
520182,grp-Fabrikam-universal-17
131192,grp-Fabrikam-local-10
131192,grp-Fabrikam-universal-12
843306,grp-Fabrikam-local-3
843306,grp-Fabrikam-universal-5
422249,grp-Fabrikam-universal-1
422249,grp-Fabrikam-universal-1
990838,grp-Fabrikam-local-7
990838,grp-Fabrikam-local-2
784982,grp-Fabrikam-universal-19
784982,grp-Fabrikam-universal-6
559026,grp-Fabrikam-local-1
559026,grp-Fabrikam-local-5
915028,grp-Fabrikam-local-12
915028,grp-Fabrikam-universal-1
334810,grp-Fabrikam-universal-1
334810,grp-Fabrikam-local-2
352905,grp-Fabrikam-universal-7
352905,grp-Fabrikam-local-6
121352,grp-Fabrikam-universal-18
121352,grp-Fabrikam-universal-3
973000,grp-Fabrikam-local-1
973000,grp-Fabrikam-universal-5
644245,grp-Fabrikam-local-8
644245,grp-Fabrikam-universal-2
974898,grp-Fabrikam-universal-2
974898,grp-Fabrikam-local-8
653428,grp-Fabrikam-local-4
653428,grp-Fabrikam-universal-7
357824,grp-Fabrikam-universal-4
357824,grp-Fabrikam-universal-8
603454,grp-Fabrikam-local-11
603454,grp-Fabrikam-universal-18
329183,grp-Fabrikam-universal-14
329183,grp-Fabrikam-universal-19
408051,grp-Fabrikam-universal-8
408051,grp-Fabrikam-local-4
716881,grp-Fabrikam-universal-10
716881,grp-Fabrikam-universal-3
286918,grp-Fabrikam-universal-16
286918,grp-Fabrikam-universal-10
299306,grp-Fabrikam-local-9
299306,grp-Fabrikam-universal-12
814262,grp-Fabrikam-universal-3
814262,grp-Fabrikam-universal-5
945003,grp-Fabrikam-universal-11
945003,grp-Fabrikam-local-3
758811,grp-Fabrikam-universal-19
758811,grp-Fabrikam-universal-16
590625,grp-Fabrikam-local-12
590625,grp-Fabrikam-universal-12
181494,grp-Fabrikam-universal-19
181494,grp-Fabrikam-universal-15
549887,grp-Fabrikam-local-12
549887,grp-Fabrikam-universal-19
923770,grp-Fabrikam-local-6
923770,grp-Fabrikam-local-1
919843,grp-Fabrikam-universal-6
919843,grp-Fabrikam-universal-13
941629,grp-Fabrikam-universal-12
941629,grp-Fabrikam-universal-9
545208,grp-Fabrikam-local-4
545208,grp-Fabrikam-universal-15
954167,grp-Fabrikam-universal-5
954167,grp-Fabrikam-universal-11
858037,grp-Fabrikam-local-9
858037,grp-Fabrikam-universal-12
448239,grp-Fabrikam-universal-11
448239,grp-Fabrikam-local-4
709924,grp-Fabrikam-local-6
709924,grp-Fabrikam-local-8
726980,grp-Fabrikam-universal-15
726980,grp-Fabrikam-universal-7
251430,grp-Fabrikam-universal-3
251430,grp-Fabrikam-universal-16
350992,grp-Fabrikam-universal-17
350992,grp-Fabrikam-universal-18
656172,grp-Fabrikam-universal-12
656172,grp-Fabrikam-universal-16
283642,grp-Fabrikam-universal-2
283642,grp-Fabrikam-local-1
730825,grp-Fabrikam-universal-8
730825,grp-Fabrikam-universal-5
780945,grp-Fabrikam-universal-7
780945,grp-Fabrikam-local-3
689236,grp-Fabrikam-universal-12
689236,grp-Fabrikam-local-9
757633,grp-Fabrikam-local-6
757633,grp-Fabrikam-universal-8
237867,grp-Fabrikam-local-3
237867,grp-Fabrikam-universal-14
101477,grp-Fabrikam-local-4
101477,grp-Fabrikam-local-7
941188,grp-Fabrikam-universal-14
941188,grp-Fabrikam-universal-10
750472,grp-Fabrikam-universal-17
750472,grp-Fabrikam-universal-19
914525,grp-Fabrikam-local-1
914525,grp-Fabrikam-local-6
905485,grp-Fabrikam-local-6
905485,grp-Fabrikam-universal-15
975781,grp-Fabrikam-universal-12
975781,grp-Fabrikam-universal-4
536069,grp-Fabrikam-universal-16
536069,grp-Fabrikam-universal-14
891476,grp-Fabrikam-universal-12
891476,grp-Fabrikam-local-3
148785,grp-Fabrikam-universal-6
148785,grp-Fabrikam-local-12
727585,grp-Fabrikam-universal-11
727585,grp-Fabrikam-universal-14
250789,grp-Fabrikam-universal-17
250789,grp-Fabrikam-local-7
101074,grp-Fabrikam-local-6
101074,grp-Fabrikam-universal-15
682007,grp-Fabrikam-local-3
682007,grp-Fabrikam-universal-4
482830,grp-Fabrikam-local-11
482830,grp-Fabrikam-local-3
270850,grp-Fabrikam-local-2
270850,grp-Fabrikam-universal-16
220572,grp-Fabrikam-universal-10
220572,grp-Fabrikam-universal-9
521462,grp-Fabrikam-universal-18
521462,grp-Fabrikam-local-5
829115,grp-Fabrikam-universal-4
829115,grp-Fabrikam-local-6
616674,grp-Fabrikam-local-11
616674,grp-Fabrikam-universal-13
442362,grp-Fabrikam-universal-18
442362,grp-Fabrikam-universal-16
377525,grp-Fabrikam-local-6
377525,grp-Fabrikam-universal-18
135975,grp-Fabrikam-universal-19
135975,grp-Fabrikam-local-10
504757,grp-Fabrikam-local-10
504757,grp-Fabrikam-universal-6
308514,grp-Fabrikam-universal-17
308514,grp-Fabrikam-universal-8
206006,grp-Fabrikam-local-8
206006,grp-Fabrikam-local-10
834149,grp-Fabrikam-universal-18
834149,grp-Fabrikam-local-9
716773,grp-Fabrikam-universal-5
716773,grp-Fabrikam-universal-19
146074,grp-Fabrikam-universal-10
146074,grp-Fabrikam-universal-19
189254,grp-Fabrikam-universal-1
189254,grp-Fabrikam-universal-9
544724,grp-Fabrikam-local-4
544724,grp-Fabrikam-universal-1
392874,grp-Fabrikam-universal-5
392874,grp-Fabrikam-universal-15
413830,grp-Fabrikam-universal-8
413830,grp-Fabrikam-local-2
703258,grp-Fabrikam-local-3
703258,grp-Fabrikam-universal-16
314812,grp-Fabrikam-local-6
314812,grp-Fabrikam-universal-8
111862,grp-Fabrikam-local-2
111862,grp-Fabrikam-universal-9
746731,grp-Fabrikam-local-2
746731,grp-Fabrikam-universal-4
118445,grp-Fabrikam-universal-8
118445,grp-Fabrikam-local-3
469037,grp-Fabrikam-universal-5
469037,grp-Fabrikam-universal-4
650934,grp-Fabrikam-universal-17
650934,grp-Fabrikam-universal-9
926767,grp-Fabrikam-universal-14
926767,grp-Fabrikam-universal-11
984707,grp-Fabrikam-universal-1
984707,grp-Fabrikam-local-11
829696,grp-Fabrikam-local-5
829696,grp-Fabrikam-universal-4
grp-Fabrikam-universal-1,grp-Fabrikam-universal-11
grp-Fabrikam-universal-2,grp-Fabrikam-universal-16
grp-Fabrikam-universal-3,grp-Fabrikam-universal-15
grp-Fabrikam-universal-4,grp-Fabrikam-universal-15
grp-Fabrikam-universal-5,grp-Fabrikam-universal-15
grp-Fabrikam-universal-6,grp-Fabrikam-universal-4
grp-Fabrikam-universal-7,grp-Fabrikam-universal-9
grp-Fabrikam-universal-8,grp-Fabrikam-universal-14
grp-Fabrikam-universal-9,grp-Fabrikam-universal-13
grp-Fabrikam-universal-10,grp-Fabrikam-universal-10
grp-Fabrikam-universal-11,grp-Fabrikam-universal-2
grp-Fabrikam-universal-12,grp-Fabrikam-universal-17
grp-Fabrikam-universal-13,grp-Fabrikam-universal-15
grp-Fabrikam-universal-14,grp-Fabrikam-universal-16
grp-Fabrikam-universal-15,grp-Fabrikam-universal-11
grp-Fabrikam-universal-16,grp-Fabrikam-universal-10
grp-Fabrikam-universal-17,grp-Fabrikam-universal-15
grp-Fabrikam-universal-18,grp-Fabrikam-universal-11
grp-Fabrikam-universal-19,grp-Fabrikam-universal-3
